address,topics,data,blockNumber,blockHash,timeStamp,gasPrice,gasUsed,logIndex,transactionHash,transactionIndex
0xf4ec1926fd9f154ef2d5df92cd47ff9d130c1b44,"['0x3de3aee7860cdac45b499418398cd4bcf1f9952148868b8a6d43ba7729a0bbb5', '0x0000000000000000000000001434f19804789e494e271f9cef8450e51790fcd2']",0x000000000000000000000000000000000000000000000000000000040a7f8b00,0xfa9524,0x97f64276b7765289c6ba14d05f30b2e1b17a2ce1bf7589f3af8e81562254d7d8,0x63c5c82b,0x6704aab8e,0x1946a,0x9c1,0x40927d5a11e9835ba38236ace5a26e515f6fcc65187f43aa2ae093bace7cd834,0x91
0xf4ec1926fd9f154ef2d5df92cd47ff9d130c1b44,"['0xbdf2ad452fb5e7123ebc3e977452088bc6ac9aa4c6b807fa043bb65f7dd62810', '0x0000000000000000000000001434f19804789e494e271f9cef8450e51790fcd2', '0x0000000000000000000000008d6ec9b194de4df8f35dcc52d6b6eaebcb48ce74']",0x00000000000000000000000000000000000000000000000001b69b4be86b2916ed81660bbc8acb3c82d8c27f22d9b4bdd2a0a0ff9fc2f06642f3bcb7f16ad99d,0xfa952a,0xab5a32e21c022a1e7ed0d40e9d186c3c1c207948e01365de2df931116bae6e7e,0x63c5c873,0x877634941,0x11a24,0x90,0x5f0d96c470c2b2e7cfd85f78e9e06d53d7e8d127f65863d1a373d337e17f45f1,0x46
0xf4ec1926fd9f154ef2d5df92cd47ff9d130c1b44,"['0x674faf747e3eea06e0c6346405d01330e029b752733b8ac5cfa9365ed64a496c', '0x0000000000000000000000001434f19804789e494e271f9cef8450e51790fcd2', '0x0000000000000000000000008d6ec9b194de4df8f35dcc52d6b6eaebcb48ce74']",0x00000000000000000000000000000000000000000000000001b69b4be86b2916ed81660bbc8acb3c82d8c27f22d9b4bdd2a0a0ff9fc2f06642f3bcb7f16ad99d00000000000000000000000000000000000000000000000000000000716aa65e,0xfc8833,0x9dcd79277519bf69f4aa0ad653b4ca1832c6559f873f0e65db89d73cd0817b96,0x63dd4d13,0xa59052d9d,0x12b20,0xdf,0x966c17c1f0d48f0fc2b434bc6d6c7b37f388cc66a6a6061b54cd99f0f372dd2f,0x69
0xf4ec1926fd9f154ef2d5df92cd47ff9d130c1b44,"['0xb67efc8b8dcfed4c807ecc6c0e5c1234071c787585f1fef08e7cb9a1bc7c7de9', '0x0000000000000000000000001434f19804789e494e271f9cef8450e51790fcd2']",0x00000000000000000000000000000000000000000000000000000000ac9d7400,0xfd11e3,0x70a79119b0475b2d0ad5b281d2e153f48bd599e118b7cf9aaac91819bd342c10,0x63e3cab3,0xd0540e3b0,0x14416,0x1a9,0x56cd79256fdac3c08d2377c3d03f9fe0177d093f59f8aa2393eaed0c0df403f4,0x7e
0xf4ec1926fd9f154ef2d5df92cd47ff9d130c1b44,"['0x674faf747e3eea06e0c6346405d01330e029b752733b8ac5cfa9365ed64a496c', '0x0000000000000000000000001434f19804789e494e271f9cef8450e51790fcd2', '0x0000000000000000000000008d6ec9b194de4df8f35dcc52d6b6eaebcb48ce74']",0x00000000000000000000000000000000000000000000000001b69b4be86b2916ed81660bbc8acb3c82d8c27f22d9b4bdd2a0a0ff9fc2f06642f3bcb7f16ad99d00000000000000000000000000000000000000000000000000000000266b0634,0xfd311a,0xd8927ba18d1b2578708f129403fa53435e8c5bb63d851c0ce9a2b8c0d6957861,0x63e54477,0x8b47b39a4,0x183e6,0x92,0xeb61f4e73bfac1e4244273794b33143788b237f7ae9843a4220cd25a3c4a1d8f,0x59
0xf4ec1926fd9f154ef2d5df92cd47ff9d130c1b44,"['0x0edc6e7edb775c1fb5a1326f1b041b17e4e1cbfb9ea4a0562920bda1a7d03134', '0x0000000000000000000000001434f19804789e494e271f9cef8450e51790fcd2', '0x0000000000000000000000008d6ec9b194de4df8f35dcc52d6b6eaebcb48ce74', '0x0000000000000000000000008d6ec9b194de4df8f35dcc52d6b6eaebcb48ce74']",0x00000000000000000000000000000000000000000000000001b69b4be86b2916ed81660bbc8acb3c82d8c27f22d9b4bdd2a0a0ff9fc2f06642f3bcb7f16ad99d000000000000000000000000000000000000000000000000036d3697d0d6522c44de4cc61b6acf158578278c9a5f0ca9aa503fccafffd22a8421291f9d09ea9c,0xfd311a,0xd8927ba18d1b2578708f129403fa53435e8c5bb63d851c0ce9a2b8c0d6957861,0x63e54477,0x8b47b39a4,0x183e6,0x94,0xeb61f4e73bfac1e4244273794b33143788b237f7ae9843a4220cd25a3c4a1d8f,0x59
0xf4ec1926fd9f154ef2d5df92cd47ff9d130c1b44,"['0x674faf747e3eea06e0c6346405d01330e029b752733b8ac5cfa9365ed64a496c', '0x0000000000000000000000001434f19804789e494e271f9cef8450e51790fcd2', '0x0000000000000000000000008d6ec9b194de4df8f35dcc52d6b6eaebcb48ce74']",0x000000000000000000000000000000000000000000000000036d3697d0d6522c44de4cc61b6acf158578278c9a5f0ca9aa503fccafffd22a8421291f9d09ea9c00000000000000000000000000000000000000000000000000000000fc5ac62f,0xff59b5,0x334741e04cbb031747c0d13961cea8f5e8bc43ae4393bf56bcce293687afcd45,0x63ff6e7b,0xf22200762,0x12b20,0x85,0x35d4bb121f657f59f41343efccd3b39547938df3f699930646d6be8c4cf020e0,0x38
0xf4ec1926fd9f154ef2d5df92cd47ff9d130c1b44,"['0x674faf747e3eea06e0c6346405d01330e029b752733b8ac5cfa9365ed64a496c', '0x0000000000000000000000001434f19804789e494e271f9cef8450e51790fcd2', '0x0000000000000000000000008d6ec9b194de4df8f35dcc52d6b6eaebcb48ce74']",0x000000000000000000000000000000000000000000000000036d3697d0d6522c44de4cc61b6acf158578278c9a5f0ca9aa503fccafffd22a8421291f9d09ea9c00000000000000000000000000000000000000000000000000000000b48a8871,0x100e401,0xe65ed1cdbd6cd8ad1ef7eb73b1a4e7d47363dbfe4a2cf6243e28fc0c5f711f78,0x6412266b,0x6496dc321,0x16dec,0xe1,0x12cd742ca7976693678e0f886c21303dcff4bddc012d18440b73911abdbaf7f1,0x52
0xf4ec1926fd9f154ef2d5df92cd47ff9d130c1b44,"['0x674faf747e3eea06e0c6346405d01330e029b752733b8ac5cfa9365ed64a496c', '0x0000000000000000000000001434f19804789e494e271f9cef8450e51790fcd2', '0x0000000000000000000000008d6ec9b194de4df8f35dcc52d6b6eaebcb48ce74']",0x000000000000000000000000000000000000000000000000036d3697d0d6522c44de4cc61b6acf158578278c9a5f0ca9aa503fccafffd22a8421291f9d09ea9c00000000000000000000000000000000000000000000000000000000bd57dc4b,0x1028204,0xd9ca6f4ffd52b14ea738c36ab15e38be0e1f872a48a723e583710feab7a54c2c,0x6425c7fb,0xb14569c37,0x11f3d,0x8d,0x1a85fccd3019765f680d03176099302aa7cce001f13842bfd16a02f1d87db2bc,0x4e
0xf4ec1926fd9f154ef2d5df92cd47ff9d130c1b44,"['0xad944a97ab4c0b30123a6c2757ec85eab70d01af114e49d0f0a86c466e32fb4f', '0x0000000000000000000000001434f19804789e494e271f9cef8450e51790fcd2', '0x0000000000000000000000008d6ec9b194de4df8f35dcc52d6b6eaebcb48ce74']",0x000000000000000000000000000000000000000000000000036d3697d0d6522c44de4cc61b6acf158578278c9a5f0ca9aa503fccafffd22a8421291f9d09ea9c,0x1028204,0xd9ca6f4ffd52b14ea738c36ab15e38be0e1f872a48a723e583710feab7a54c2c,0x6425c7fb,0xb14569c37,0x11f3d,0x8f,0x1a85fccd3019765f680d03176099302aa7cce001f13842bfd16a02f1d87db2bc,0x4e
