address,topics,data,blockNumber,blockHash,timeStamp,gasPrice,gasUsed,logIndex,transactionHash,transactionIndex
0x67de1a5213187c90cd291378f6409d2e7c9555b1,"['0xbdf2ad452fb5e7123ebc3e977452088bc6ac9aa4c6b807fa043bb65f7dd62810', '0x0000000000000000000000000cf2a3bc341038b87c80f9d9fc94b3682c1772db', '0x000000000000000000000000fd048ad1c7117f3af63b4acd8b29b0eb655f9a13']",0x000000000000000000000000000000000000000000000000000002e24d16b5a8d646e75ae7784d8b67fd99f52e9755cb818fedcf3dca5dac4a4a94daa52080fd,0x123a9c5,0x07df0422b98688e592006870bbb15a4479c7a73055213c7bfd556ddf6add1d15,0x65b80473,0x3a01d3f51,0x11a0c,0xc4,0x457186d42896dc681599f5d9ad2c4c11a9cbff1a59c97971df847438448b0d61,0x4f
0x67de1a5213187c90cd291378f6409d2e7c9555b1,"['0x3de3aee7860cdac45b499418398cd4bcf1f9952148868b8a6d43ba7729a0bbb5', '0x0000000000000000000000000cf2a3bc341038b87c80f9d9fc94b3682c1772db']",0x0000000000000000000000000000000000000000000000008ac7230489e80000,0x123ba04,0x94c11b54b2cc4a8eaddf1f5606b952b29d494108f1ad3dd69a5447034888cad6,0x65b8c90b,0x5a74f411d,0x5034a,0x77,0x7ded95349f8d075f1666d366cbd1dda9105fa3f5e6df19df5fe935ac03dfc897,0x1c
0x67de1a5213187c90cd291378f6409d2e7c9555b1,"['0x674faf747e3eea06e0c6346405d01330e029b752733b8ac5cfa9365ed64a496c', '0x0000000000000000000000000cf2a3bc341038b87c80f9d9fc94b3682c1772db', '0x000000000000000000000000fd048ad1c7117f3af63b4acd8b29b0eb655f9a13']",0x000000000000000000000000000000000000000000000000000002e24d16b5a8d646e75ae7784d8b67fd99f52e9755cb818fedcf3dca5dac4a4a94daa52080fd0000000000000000000000000000000000000000000000000005ad2f2c194f82,0x123ba09,0xe0830d983e1f474b88a10663307e40770a13ce6feb003076502b471e483c018a,0x65b8c947,0x52ddb394e,0x1df2d,0x7e,0x61fb8362f6771952d6fce4af0c9f0b85f61ca3032d447686ee4391f1b62eba7e,0x1c
0x67de1a5213187c90cd291378f6409d2e7c9555b1,"['0x0edc6e7edb775c1fb5a1326f1b041b17e4e1cbfb9ea4a0562920bda1a7d03134', '0x0000000000000000000000000cf2a3bc341038b87c80f9d9fc94b3682c1772db', '0x000000000000000000000000fd048ad1c7117f3af63b4acd8b29b0eb655f9a13', '0x000000000000000000000000657011e5848f7bd10721bfbe7f1f08144f8bc4b3']",0x000000000000000000000000000000000000000000000000000002e24d16b5a8d646e75ae7784d8b67fd99f52e9755cb818fedcf3dca5dac4a4a94daa52080fd00000000000000000000000000000000000000000000000000000e6b81718c4a866cfd432df986cae65bad28ca16090370beee7df25097c52e11466c2ed9e3ee,0x123ba09,0xe0830d983e1f474b88a10663307e40770a13ce6feb003076502b471e483c018a,0x65b8c947,0x52ddb394e,0x1df2d,0x80,0x61fb8362f6771952d6fce4af0c9f0b85f61ca3032d447686ee4391f1b62eba7e,0x1c
0x67de1a5213187c90cd291378f6409d2e7c9555b1,"['0x3de3aee7860cdac45b499418398cd4bcf1f9952148868b8a6d43ba7729a0bbb5', '0x0000000000000000000000000cf2a3bc341038b87c80f9d9fc94b3682c1772db']",0x000000000000000000000000000000000000000000000859656aed80c5900000,0x123ba18,0x3491c8ab95714be4b77e190c778b80976d5713719799a701da8a16c49b31661c,0x65b8c9fb,0x51bc8201a,0x11a93,0x4e,0xc55e827c515991dad3db365e15ad1a5c1385c32ae130789f6b6397fd02530173,0x3a
0x67de1a5213187c90cd291378f6409d2e7c9555b1,"['0x674faf747e3eea06e0c6346405d01330e029b752733b8ac5cfa9365ed64a496c', '0x0000000000000000000000000cf2a3bc341038b87c80f9d9fc94b3682c1772db', '0x000000000000000000000000657011e5848f7bd10721bfbe7f1f08144f8bc4b3']",0x00000000000000000000000000000000000000000000000000000e6b81718c4a866cfd432df986cae65bad28ca16090370beee7df25097c52e11466c2ed9e3ee0000000000000000000000000000000000000000000000000000229b9d1083e4,0x123ba1d,0x276f51d53de1082ad29753fda71c1eac4a76d9892e31b9c9b52d15782ff9f1c2,0x65b8ca37,0x54a4d4dce,0x1df45,0x3e,0x957ad791b729cce66240d02e0ba59cbe2f5a27228b4ef891e1739b330d89e92e,0x2f
0x67de1a5213187c90cd291378f6409d2e7c9555b1,"['0x0edc6e7edb775c1fb5a1326f1b041b17e4e1cbfb9ea4a0562920bda1a7d03134', '0x0000000000000000000000000cf2a3bc341038b87c80f9d9fc94b3682c1772db', '0x000000000000000000000000657011e5848f7bd10721bfbe7f1f08144f8bc4b3', '0x000000000000000000000000fd048ad1c7117f3af63b4acd8b29b0eb655f9a13']",0x00000000000000000000000000000000000000000000000000000e6b81718c4a866cfd432df986cae65bad28ca16090370beee7df25097c52e11466c2ed9e3ee00000000000000000000000000000000000000000000000001bc47dd936e9030a185068d994c94aa06b42c98c339a6fe0d60069be1ac1a3a291005d1f7dd90b0,0x123ba1d,0x276f51d53de1082ad29753fda71c1eac4a76d9892e31b9c9b52d15782ff9f1c2,0x65b8ca37,0x54a4d4dce,0x1df45,0x40,0x957ad791b729cce66240d02e0ba59cbe2f5a27228b4ef891e1739b330d89e92e,0x2f
